group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD56bright,SLC25A39,31.417578,1.2128352,1.1642715217202613e-216,2.788674303521584e-215,0.5803188753643065,0.23828067597354885
CD56bright,RPL36A,31.399885,0.95918596,2.0307390830198036e-216,4.835093054809056e-215,0.8755357448997085,0.592505510653931
CD56bright,IMPDH2,31.388288,1.4641582,2.9236042183220265e-216,6.919773297803612e-215,0.478141608091891,0.16282145481263777
CD56bright,RANBP1,30.89503,1.2430419,1.392967915814656e-209,3.2775715666227197e-208,0.5835762043545345,0.27472446730345335
CD56bright,HELLS,30.841547,3.1147242,7.272482406158387e-209,1.7011654751247687e-207,0.3199039945139722,0.03952975753122704
CD56bright,RPL37A,30.71558,0.49753308,3.525686141347061e-207,8.199270096155956e-206,0.9917709583404766,0.9491550330639236
CD56bright,ATP5MG,30.681435,0.75161284,1.0067990566750583e-206,2.3278590905781695e-205,0.9543973941368078,0.7758265980896399
CD56bright,ORAI2,30.650259,1.3077736,2.621729917715747e-206,6.026965328082177e-205,0.48311332076118635,0.16649522409992654
CD56bright,MZT2A,30.521063,1.0905529,1.3694908592466711e-204,3.1302648211352487e-203,0.6416938110749185,0.29066862601028653
CD56bright,MDFIC,30.312157,1.2643163,7.927313485659564e-202,1.8016621558317192e-200,0.4937424995714041,0.1766348273328435
CD56bright,TSPAN4,30.265448,2.8551204,3.26752732372329e-201,7.384242539487661e-200,0.3164752271558375,0.03806024981631154
CD56bright,ITM2A,30.194672,1.2319003,2.7825666891502475e-200,6.252958852023028e-199,0.5223727070118293,0.20396767083027187
CD56bright,COX8A,30.168657,0.8770485,6.106627716977023e-200,1.3646095456931896e-198,0.870049717126693,0.6203526818515798
CD56bright,NAP1L1,30.148502,1.0517695,1.1222415832339028e-199,2.4938701849642287e-198,0.7148979941710955,0.38831741366642175
CD56bright,SNRPD1,30.107363,1.1827838,3.8810476333408024e-199,8.576900847161995e-198,0.5792902451568661,0.26054371785451874
CD56bright,TFDP1,29.989798,1.8980958,1.3331122866846357e-197,2.929917113592606e-196,0.3723641350934339,0.08750918442321823
CD56bright,RPS17,29.987978,0.9512882,1.4079510046662317e-197,3.0774885347895775e-196,0.8261614949425682,0.529757531227039
CD56bright,PCNA,29.978306,2.0089395,1.882316737269797e-197,4.0919929071082544e-196,0.3895079718841077,0.11873622336517267
CD56bright,TUBA1C,29.968336,1.5363957,2.5386810976738052e-197,5.489040211186606e-196,0.4421395508314761,0.14981631153563557
CD56bright,PLCL2,29.934353,1.1087571,7.03318628983099e-197,1.512513180608815e-195,0.549974284244814,0.22020573108008817
CD56bright,CTSZ,29.934116,1.252556,7.083019300774835e-197,1.5150843424117294e-195,0.4867135264872278,0.17347538574577517
CD56bright,HPRT1,29.914131,1.4434534,1.288963048104612e-196,2.7424745704353447e-195,0.4491685239156523,0.14871418074944892
CD56bright,PDE6G,29.85264,1.8717881,8.112810831383801e-196,1.716997001351069e-194,0.3732213269329676,0.08824393828067598
CD56bright,FLOT1,29.749485,1.0305959,1.7609428285498262e-194,3.6878383843975417e-193,0.6521515515172296,0.3028655400440852
CD56bright,RNF130,29.725605,1.5299418,3.5851812467873604e-194,7.469127597473667e-193,0.41282358991942397,0.11726671565025716
CD56bright,TUBB,29.685602,1.2227362,1.1780457982304334e-193,2.4415456958143695e-192,0.7814160809189097,0.5612784717119765
CD56bright,MKI67,29.61088,3.627093,1.0823853448316489e-192,2.2317223604776263e-191,0.29761700668609636,0.029757531227038943
CD56bright,MRPL37,29.48108,1.2906895,5.03310514580421e-191,1.0324318247803507e-189,0.4621978398765644,0.15723732549595884
CD56bright,C1QBP,29.470242,1.104726,6.929949062692568e-191,1.4142753189168505e-189,0.6031201782959026,0.2799412196914034
